PULocationID,passenger_count,num
1,1,4784
1,6,26
1,5,70
1,3,354
1,4,232
1,2,1385
2,6,4
2,2,11
2,3,2
2,5,5
2,1,53
3,2,48
3,3,16
3,5,12
3,6,6
3,1,196
3,4,5
4,6,7290
4,4,4323
4,3,10168
4,2,35835
4,5,11084
4,1,167597
5,5,1
5,1,20
5,2,4
6,6,3
6,3,10
6,5,4
6,2,17
6,1,337
6,4,5
7,1,122423
7,5,8409
7,4,2575
7,2,21277
7,3,5469
7,6,5304
8,6,26
8,4,23
8,1,753
8,3,51
8,2,150
8,5,67
9,4,5
9,2,33
9,3,4
9,5,12
9,1,268
9,6,5
10,2,3426
10,5,969
10,1,14151
10,3,913
10,4,486
10,6,551
11,2,75
11,1,428
11,6,16
11,4,12
11,5,30
11,3,37
12,2,7585
12,3,3157
12,5,2205
12,4,2460
12,1,29003
12,6,1431
13,2,127573
13,1,621441
13,6,27018
13,5,43420
13,3,40442
13,4,21785
14,2,512
14,1,2854
14,3,186
14,6,103
14,4,76
14,5,563
15,3,8
15,1,184
15,2,21
15,4,3
15,6,2
15,5,5
16,6,6
16,1,394
16,5,25
16,3,17
16,2,67
16,4,11
17,2,3512
17,3,934
17,4,398
17,1,18750
17,5,1200
17,6,678
18,4,11
18,2,121
18,5,46
18,3,23
18,1,758
18,6,47
19,6,11
19,5,23
19,2,138
19,3,26
19,4,9
19,1,594
20,5,23
20,4,14
20,3,36
20,1,403
20,2,98
20,6,18
21,3,50
21,2,82
21,6,7
21,4,14
21,5,28
21,1,391
22,6,28
22,1,945
22,2,155
22,5,43
22,4,11
22,3,100
23,5,6
23,1,102
23,3,9
23,2,22
23,4,2
23,6,3
24,4,5060
24,2,38338
24,5,12461
24,3,11640
24,1,195698
24,6,8987
25,2,13484
25,4,1499
25,6,2344
25,3,3622
25,1,73339
25,5,3873
26,2,285
26,3,84
26,5,73
26,6,76
26,4,21
26,1,1700
27,3,2
27,5,6
27,6,1
27,4,1
27,1,16
28,5,385
28,6,191
28,3,248
28,2,872
28,1,4254
28,4,107
29,4,15
29,6,18
29,5,37
29,3,130
29,2,126
29,1,448
30,3,2
30,1,24
30,2,2
30,5,1
31,6,23
31,2,64
31,3,32
31,4,17
31,5,13
31,1,280
32,6,13
32,2,41
32,4,8
32,1,248
32,5,18
32,3,21
33,3,4160
33,1,73592
33,4,1743
33,2,14271
33,5,5089
33,6,3115
34,5,117
34,6,73
34,4,60
34,2,337
34,1,2167
34,3,102
35,1,831
35,4,19
35,5,41
35,2,134
35,6,31
35,3,64
36,1,9683
36,6,315
36,2,2217
36,4,399
36,5,730
36,3,692
37,6,746
37,5,1420
37,3,1095
37,2,3894
37,4,528
37,1,18826
38,1,203
38,4,9
38,5,9
38,2,45
38,6,14
38,3,8
39,1,1218
39,4,20
39,6,44
39,2,184
39,3,51
39,5,51
40,6,1760
40,3,2218
40,5,2741
40,1,38735
40,2,7647
40,4,783
41,6,10171
41,4,5953
41,5,13818
41,2,46986
41,1,234690
41,3,14179
42,1,108254
42,4,2589
42,3,6253
42,2,20453
42,6,4355
42,5,6035
43,2,205897
43,3,64968
43,1,873294
43,6,45485
43,5,70147
43,4,32788
44,1,9
44,5,5
44,2,3
45,6,5931
45,5,9198
45,3,10736
45,2,34278
45,1,149964
45,4,5918
46,3,2
46,4,2
46,2,6
46,1,47
47,4,15
47,5,41
47,3,58
47,2,149
47,1,753
47,6,40
48,2,432663
48,4,62796
48,3,129241
48,1,2083250
48,6,87198
48,5,139672
49,6,900
49,1,26058
49,5,1490
49,2,4754
49,3,1289
49,4,587
50,5,39967
50,2,127927
50,4,20221
50,3,39359
50,1,626396
50,6,26759
51,4,9
51,5,32
51,1,375
51,3,18
51,6,15
51,2,64
52,1,38849
52,2,7369
52,3,2286
52,4,776
52,5,2915
52,6,2028
53,3,22
53,6,16
53,4,4
53,2,101
53,1,461
53,5,33
54,6,127
54,1,3451
54,4,76
54,5,239
54,2,717
54,3,217
55,1,500
55,4,18
55,6,14
55,2,98
55,5,43
55,3,42
56,5,160
56,2,498
56,3,142
56,6,79
56,1,2428
56,4,54
57,4,11
57,6,6
57,5,17
57,1,315
57,3,18
57,2,56
58,3,1
58,5,2
58,1,32
58,2,5
59,5,3
59,2,5
59,1,28
60,4,12
60,3,38
60,5,25
60,1,474
60,6,31
60,2,114
61,6,480
61,1,14894
61,5,819
61,4,289
61,3,738
61,2,2652
62,5,153
62,2,528
62,6,113
62,4,67
62,1,3192
62,3,151
63,6,25
63,2,130
63,1,1262
63,5,37
63,3,47
63,4,13
64,5,13
64,4,7
64,2,40
64,6,1
64,1,239
64,3,9
65,1,95003
65,5,5569
65,2,17968
65,3,5251
65,6,3904
65,4,2589
66,3,2154
66,6,1250
66,4,1127
66,1,28810
66,5,2309
66,2,6538
67,3,44
67,4,15
67,5,31
67,1,541
67,6,22
67,2,87
68,1,1568046
68,3,97172
68,5,101051
68,4,47557
68,6,63342
68,2,328208
69,3,178
69,1,3008
69,5,156
69,2,540
69,6,142
69,4,87
70,2,1938
70,3,478
70,6,341
70,4,236
70,1,10541
70,5,613
71,1,722
71,2,125
71,4,22
71,5,39
71,3,45
71,6,30
72,3,31
72,6,15
72,5,38
72,2,136
72,1,736
72,4,13
73,1,176
73,4,8
73,3,7
73,6,5
73,5,8
73,2,22
74,2,45691
74,3,13978
74,6,10700
74,5,15459
74,4,6158
74,1,245122
75,3,24388
75,2,82906
75,5,27240
75,4,9942
75,1,442723
75,6,18312
76,2,357
76,4,44
76,5,111
76,1,1986
76,3,111
76,6,61
77,6,14
77,5,21
77,2,84
77,3,33
77,1,475
77,4,13
78,2,136
78,5,39
78,1,684
78,3,44
78,6,21
78,4,19
79,1,1923659
79,4,55852
79,6,79095
79,2,421248
79,3,121550
79,5,133151
80,5,2707
80,2,8259
80,1,37926
80,3,2237
80,6,1424
80,4,1005
81,3,12
81,5,20
81,2,50
81,6,12
81,4,15
81,1,236
82,4,397
82,1,20278
82,6,865
82,5,1454
82,3,821
82,2,3650
83,4,211
83,3,392
83,2,1632
83,5,690
83,6,358
83,1,8844
84,4,1
84,6,1
84,2,1
84,1,29
85,2,267
85,6,40
85,1,1576
85,4,35
85,5,60
85,3,97
86,4,1
86,5,9
86,3,14
86,2,10
86,1,103
86,6,3
87,6,22592
87,1,527700
87,2,103305
87,3,30171
87,5,35608
87,4,15818
88,5,17895
88,6,11205
88,4,10420
88,1,267793
88,2,54647
88,3,17503
89,4,122
89,5,359
89,1,5847
89,6,190
89,2,1055
89,3,314
90,6,50811
90,2,246664
90,1,1261635
90,5,80626
90,3,69023
90,4,30618
91,2,135
91,1,1158
91,4,18
91,6,26
91,3,49
91,5,54
92,2,540
92,6,75
92,3,172
92,1,3427
92,4,79
92,5,215
93,4,288
93,5,692
93,1,9239
93,2,2175
93,3,530
93,6,400
94,4,14
94,5,27
94,3,28
94,2,59
94,6,36
94,1,441
95,6,389
95,1,10315
95,5,597
95,4,188
95,2,1728
95,3,437
96,3,8
96,6,5
96,2,21
96,1,222
96,5,12
97,4,1610
97,3,3578
97,6,2403
97,2,12846
97,5,3687
97,1,66334
98,3,17
98,5,17
98,6,10
98,2,46
98,1,324
98,4,9
99,1,5
99,6,1
99,2,1
100,3,82691
100,2,266864
100,6,53507
100,1,1370017
100,4,41204
100,5,82840
101,1,317
101,6,3
101,5,5
101,2,45
101,3,7
101,4,4
102,6,20
102,5,30
102,2,106
102,1,581
102,3,19
102,4,13
103,1,1
104,5,1
105,4,7
105,6,4
105,1,60
105,3,5
105,2,12
105,5,6
106,6,331
106,3,630
106,4,247
106,1,12801
106,2,2394
106,5,667
107,3,86559
107,5,109510
107,1,1603229
107,2,314343
107,6,67337
107,4,38152
108,3,78
108,5,19
108,6,15
108,2,134
108,1,313
108,4,8
109,4,2
109,1,26
109,3,1
109,2,5
110,1,1
110,2,2
111,1,162
111,3,12
111,2,29
111,6,9
111,4,2
111,5,11
112,6,1206
112,3,1996
112,4,935
112,1,38893
112,2,7643
112,5,2220
113,6,44342
113,1,1108355
113,2,222649
113,5,73541
113,3,61115
113,4,27386
114,5,64179
114,1,916367
114,4,28631
114,2,211076
114,6,38529
114,3,60502
115,2,17
115,4,1
115,5,184
115,1,55
115,3,4
116,5,5191
116,1,79016
116,2,13805
116,3,4249
116,6,3421
116,4,1841
117,4,3
117,5,5
117,6,4
117,3,1
117,1,164
117,2,20
118,2,6
118,5,2
118,6,1
118,1,112
118,4,2
119,1,2463
119,2,411
119,4,44
119,5,132
119,3,117
119,6,65
120,5,46
120,3,31
120,6,18
120,1,384
120,2,79
120,4,10
121,2,104
121,6,17
121,5,30
121,1,488
121,4,15
121,3,31
122,4,1
122,1,133
122,3,3
122,5,9
122,2,37
123,2,170
123,1,729
123,4,9
123,5,114
123,3,73
123,6,32
124,3,42
124,4,19
124,2,145
124,6,25
124,5,35
124,1,712
125,2,83773
125,4,11592
125,3,24477
125,5,26364
125,1,398129
125,6,15824
126,6,53
126,4,23
126,2,136
126,5,42
126,1,717
126,3,41
127,4,173
127,2,1227
127,6,302
127,3,408
127,1,6708
127,5,461
128,1,419
128,2,78
128,6,18
128,4,11
128,3,27
128,5,28
129,4,810
129,2,7167
129,6,1740
129,5,3076
129,1,40219
129,3,1718
130,2,1144
130,4,160
130,6,204
130,1,5241
130,5,415
130,3,291
131,5,31
131,1,465
131,4,11
131,2,107
131,3,22
131,6,17
132,1,1529860
132,5,110246
132,4,53240
132,6,73457
132,3,102904
132,2,378887
133,3,178
133,1,3227
133,5,248
133,4,41
133,2,617
133,6,170
134,2,642
134,5,210
134,6,128
134,3,175
134,4,99
134,1,3520
135,1,1240
135,4,50
135,2,263
135,3,77
135,5,75
135,6,48
136,6,27
136,5,51
136,2,137
136,1,816
136,4,30
136,3,43
137,6,35213
137,3,45178
137,1,843911
137,5,58174
137,2,161485
137,4,19878
138,3,103991
138,4,49366
138,1,1759117
138,2,371604
138,6,74878
138,5,138345
139,6,11
139,3,17
139,5,14
139,1,184
139,2,33
139,4,2
140,5,77096
140,4,24391
140,3,56639
140,6,47958
140,2,211557
140,1,1131724
141,5,106212
141,3,78134
141,6,63602
141,2,289036
141,4,34151
141,1,1542772
142,4,53196
142,3,114352
142,1,1907249
142,5,124875
142,2,415038
142,6,79549
143,4,16811
143,3,38491
143,6,32623
143,1,718363
143,5,44756
143,2,136267
144,1,733588
144,6,30012
144,3,51099
144,2,172085
144,5,51969
144,4,26674
145,5,3503
145,4,1503
145,1,86292
145,2,14573
145,6,2124
145,3,3414
146,5,4565
146,2,12473
146,3,3157
146,4,1466
146,1,76914
146,6,2805
147,2,99
147,5,37
147,3,32
147,4,21
147,1,570
147,6,27
148,3,67345
148,2,225738
148,1,958459
148,4,32711
148,5,67521
148,6,37998
149,3,16
149,5,18
149,6,15
149,4,5
149,2,111
149,1,397
150,1,247
150,5,16
150,6,11
150,2,40
150,3,20
150,4,5
151,1,579456
151,3,32179
151,2,111456
151,4,14264
151,5,36320
151,6,25951
152,4,1597
152,1,66321
152,3,3678
152,5,4501
152,2,11999
152,6,3072
153,1,675
153,5,34
153,6,36
153,2,119
153,3,23
153,4,15
154,5,8
154,3,10
154,1,175
154,4,5
154,6,3
154,2,39
155,1,446
155,3,20
155,5,26
155,4,10
155,6,23
155,2,71
156,3,4
156,6,10
156,4,2
156,5,3
156,1,303
156,2,8
157,3,154
157,2,615
157,1,3106
157,6,127
157,4,61
157,5,231
158,2,173572
158,6,31229
158,4,26657
158,3,53843
158,1,757525
158,5,49662
159,2,586
159,3,203
159,5,199
159,6,155
159,4,111
159,1,3495
160,1,1089
160,3,39
160,6,50
160,4,29
160,5,63
160,2,209
161,5,173956
161,1,2496461
161,2,515019
161,3,151230
161,4,75189
161,6,104288
162,1,2321174
162,2,427575
162,6,92967
162,5,156519
162,4,58251
162,3,122878
163,5,121006
163,6,72009
163,2,377323
163,4,55855
163,1,1756351
163,3,110094
164,6,67522
164,3,103342
164,5,114235
164,2,347034
164,1,1576623
164,4,51995
165,4,18
165,3,37
165,1,1062
165,2,203
165,6,43
165,5,69
166,5,21564
166,1,328318
166,4,8875
166,6,15973
166,3,19464
166,2,62360
167,5,83
167,2,224
167,4,30
167,1,1448
167,3,91
167,6,44
168,1,13622
168,3,700
168,2,2338
168,6,389
168,4,333
168,5,571
169,3,53
169,4,28
169,6,33
169,5,73
169,1,1239
169,2,219
170,6,86932
170,4,53682
170,3,115299
170,2,412285
170,1,2173011
170,5,141640
171,5,21
171,2,90
171,1,448
171,4,19
171,6,13
171,3,27
172,5,2
172,3,1
172,6,1
172,4,2
172,2,7
172,1,30
173,4,49
173,1,2489
173,2,486
173,6,107
173,5,175
173,3,131
174,2,132
174,4,14
174,5,29
174,1,585
174,3,45
174,6,28
175,5,1
175,1,213
175,2,76
175,3,5
175,6,8
175,4,5
176,5,1
176,1,20
176,2,5
176,6,1
177,4,39
177,6,52
177,3,84
177,1,1616
177,5,82
177,2,305
178,4,8
178,6,18
178,3,32
178,2,135
178,5,26
178,1,1110
179,1,44608
179,2,7034
179,3,1889
179,5,2756
179,6,1726
179,4,850
180,2,94
180,5,26
180,4,18
180,1,567
180,6,16
180,3,36
181,5,4848
181,4,1882
181,2,15963
181,1,77606
181,6,2835
181,3,4214
182,2,116
182,4,9
182,3,32
182,1,715
182,6,63
182,5,51
183,4,1
183,6,4
183,2,12
183,5,6
183,1,121
183,3,4
184,1,56
184,6,1
184,5,3
184,3,2
184,2,7
185,5,29
185,2,94
185,3,19
185,4,10
185,6,11
185,1,443
186,2,458504
186,4,66171
186,5,141958
186,6,90964
186,1,2376968
186,3,134064
187,5,3
187,1,20
187,4,2
187,2,2
187,3,7
188,1,8728
188,5,333
188,2,1374
188,3,418
188,6,231
188,4,185
189,5,1192
189,2,3894
189,3,1078
189,6,699
189,1,19848
189,4,451
190,1,3314
190,2,771
190,6,107
190,4,119
190,3,187
190,5,184
191,1,543
191,3,26
191,2,98
191,4,11
191,6,16
191,5,25
192,6,18
192,5,98
192,4,9
192,3,34
192,1,643
192,2,139
193,2,5143
193,6,1054
193,3,1404
193,4,563
193,1,36559
193,5,1862
194,1,4042
194,3,232
194,6,152
194,5,299
194,2,933
194,4,145
195,4,151
195,2,1061
195,1,4006
195,5,300
195,6,176
195,3,318
196,4,124
196,6,225
196,1,5368
196,5,335
196,2,1048
196,3,248
197,6,61
197,2,500
197,4,54
197,1,2451
197,3,108
197,5,134
198,3,109
198,6,94
198,1,2274
198,5,151
198,4,47
198,2,376
199,1,7
199,2,3
200,2,84
200,1,520
200,6,37
200,3,25
200,5,17
200,4,15
201,4,2
201,1,80
201,6,2
201,5,7
201,2,5
201,3,2
202,3,157
202,6,136
202,4,74
202,5,201
202,1,3179
202,2,595
203,1,359
203,5,15
203,2,57
203,3,22
203,4,10
203,6,24
204,6,1
204,5,1
204,1,21
204,2,1
205,5,22
205,4,8
205,2,51
205,3,14
205,1,320
205,6,34
206,6,3
206,3,4
206,5,4
206,1,51
206,4,5
206,2,5
207,6,65
207,3,66
207,1,3838
207,2,456
207,4,31
207,5,415
208,2,77
208,1,418
208,6,30
208,5,27
208,4,16
208,3,24
209,5,9358
209,2,28483
209,1,128289
209,3,8543
209,6,6250
209,4,4439
210,2,86
210,1,454
210,3,21
210,4,4
210,6,12
210,5,34
211,1,542466
211,3,36352
211,6,23294
211,5,37783
211,4,17724
211,2,126150
212,3,35
212,6,64
212,4,19
212,2,140
212,5,74
212,1,781
213,6,42
213,4,33
213,1,742
213,2,158
213,3,54
213,5,95
214,3,1
214,4,1
214,6,2
214,2,32
214,5,4
214,1,46
215,6,210
215,2,1128
215,3,273
215,4,178
215,1,4579
215,5,294
216,6,163
216,4,177
216,1,4934
216,2,1036
216,5,294
216,3,265
217,1,6291
217,2,1105
217,6,213
217,5,361
217,4,155
217,3,297
218,1,608
218,3,39
218,4,13
218,6,33
218,2,108
218,5,53
219,6,141
219,2,867
219,1,3769
219,3,243
219,5,281
219,4,111
220,5,68
220,3,81
220,4,34
220,1,1469
220,6,60
220,2,254
221,4,2
221,1,71
221,2,18
221,5,155
221,6,18
221,3,3
222,4,2
222,1,196
222,6,5
222,2,34
222,3,20
222,5,13
223,2,7107
223,3,1966
223,5,2624
223,4,938
223,6,1691
223,1,42087
224,3,9081
224,5,12674
224,1,192819
224,2,36269
224,4,4074
224,6,8196
225,2,1276
225,6,239
225,5,443
225,3,402
225,1,7597
225,4,189
226,3,5219
226,4,2366
226,6,5128
226,2,20591
226,5,7839
226,1,116539
227,4,18
227,3,46
227,6,48
227,1,886
227,5,54
227,2,147
228,2,1357
228,1,7469
228,4,156
228,5,446
228,3,379
228,6,370
229,5,86289
229,1,1280030
229,2,238871
229,6,52714
229,4,29126
229,3,64768
230,3,161679
230,1,2160899
230,4,90432
230,5,151871
230,6,88815
230,2,498994
231,3,73822
231,6,49096
231,5,80619
231,1,1203978
231,2,247296
231,4,35799
232,3,8375
232,6,4996
232,1,124273
232,5,8340
232,4,4706
232,2,27790
233,4,22924
233,1,883481
233,6,36821
233,3,48464
233,5,59313
233,2,166505
234,5,146276
234,6,89192
234,3,126370
234,4,57709
234,2,444886
234,1,2174352
235,6,53
235,1,1241
235,3,59
235,5,88
235,2,235
235,4,49
236,2,464054
236,1,2404350
236,3,126108
236,4,54682
236,6,99568
236,5,156516
237,2,513121
237,1,2659985
237,5,176343
237,3,135952
237,6,106320
237,4,59551
238,4,29802
238,6,54961
238,3,69555
238,1,1263058
238,2,241236
238,5,79345
239,5,109330
239,4,48182
239,3,102681
239,6,74304
239,1,1673929
239,2,347744
240,5,13
240,2,41
240,4,6
240,1,192
240,6,17
240,3,11
241,3,31
241,5,34
241,2,100
241,6,49
241,1,643
241,4,11
242,4,20
242,3,30
242,2,149
242,5,54
242,6,21
242,1,877
243,4,333
243,2,2619
243,3,774
243,5,872
243,6,689
243,1,13297
244,3,3490
244,1,68359
244,6,2940
244,2,11591
244,4,1508
244,5,4444
245,5,1
245,3,4
245,1,33
245,4,1
245,2,6
246,2,204438
246,5,60498
246,3,62623
246,1,946832
246,4,30955
246,6,39906
247,5,486
247,2,1830
247,1,13198
247,6,462
247,4,220
247,3,591
248,2,105
248,4,12
248,5,28
248,1,510
248,6,31
248,3,18
249,3,85029
249,2,301508
249,5,92596
249,6,55051
249,1,1378998
249,4,38351
250,3,29
250,6,34
250,1,786
250,4,15
250,2,114
250,5,81
251,5,3
251,4,1
251,3,3
251,2,10
251,1,61
252,5,27
252,1,510
252,6,12
252,3,10
252,4,14
252,2,100
253,5,13
253,2,58
253,1,173
253,6,6
253,4,3
253,3,14
254,5,27
254,6,19
254,4,12
254,1,458
254,3,26
254,2,78
255,3,5387
255,4,2611
255,5,5771
255,1,82708
255,6,3054
255,2,19960
256,5,4809
256,1,70843
256,2,15751
256,3,4485
256,6,2722
256,4,2077
257,4,41
257,3,139
257,5,159
257,2,439
257,6,111
257,1,2425
258,1,903
258,6,26
258,3,43
258,2,133
258,5,56
258,4,26
259,2,86
259,3,22
259,5,22
259,6,15
259,1,347
259,4,13
260,2,6962
260,4,826
260,6,1892
260,3,1750
260,5,3454
260,1,41005
261,4,18721
261,3,30734
261,1,388713
261,5,27788
261,2,90636
261,6,16965
262,4,18263
262,2,146681
262,3,41529
262,1,791283
262,6,35200
262,5,54824
263,6,49523
263,2,229763
263,3,63659
263,4,27487
263,1,1185308
263,5,81829
264,3,52919
264,4,29421
264,5,38508
264,1,1044458
264,2,199706
264,6,20946
265,4,1127
265,5,750
265,1,35441
265,6,487
265,3,1786
265,2,6789
